iter	RMSE
1486	2205248.606
1487	2204303.273
1488	2202922.191
1489	2201879.281
1490	2201193.279
1491	2200908.495
1492	2200177.619
1493	2198977.898
1494	2197851.864
1495	2196844.373
1496	2194957.909
1497	2194492.165
1498	2193507.594
1499	2193103.939
1500	2192650.313
1501	2190278.476
1502	2189682.909
1503	2188301.929
1504	2187564.92
1505	2187152.438
1506	2185598.23
1507	2183386.414
1508	2182049.047
1509	2181611.82
1510	2180790.522
1511	2179442.382
1512	2176786.759
1513	2175823.669
1514	2173645.486
1515	2172334.344
1516	2172124.876
1517	2171611.327
1518	2171167.503
1519	2170332.438
1520	2166790.344
1521	2165631.034
1522	2165042.937
1523	2163022.709
1524	2162782.042
1525	2162078.806
1526	2161458.79
1527	2159410.523
1528	2158999.611
1529	2156657.784
1530	2156305.583
1531	2155214.207
1532	2154556.151
1533	2154002.927
1534	2153318.613
1535	2152642.91
1536	2151843.544
1537	2150894.349
1538	2149195.804
1539	2148130.437
1540	2147490.539
1541	2145531.279
1542	2144895.357
1543	2144717.073
1544	2143997.255
1545	2143208.591
1546	2142198.401
1547	2141758.498
1548	2140436.149
1549	2139787.959
1550	2139138.609
1551	2138338.874
1552	2137959.525
1553	2136083.694
1554	2135682.608
1555	2134620.675
1556	2134284.746
1557	2133963.14
1558	2133387.174
1559	2132734.656
1560	2132126.822
1561	2131665.986
1562	2131340.083
1563	2129691.826
1564	2129284.683
1565	2127400.752
1566	2127163.819
1567	2126583.08
1568	2126433.198
1569	2125796.588
1570	2124986.123
1571	2123643.416
1572	2121260.477
1573	2120912.304
1574	2120384.244
1575	2118605.351
1576	2118361.62
1577	2117369.279
1578	2115911.429
1579	2115436.009
1580	2114283.284
1581	2112968.092
1582	2112202.403
1583	2109563.018
1584	2107700.237
1585	2107345.168
1586	2105920.066
1587	2105223.846
1588	2104081.894
1589	2102380.285
1590	2101693.022
1591	2099872.633
1592	2098998.567
1593	2098222.103
1594	2097857.016
1595	2096954.303
1596	2095546.241
1597	2095287.839
1598	2094183.308
1599	2093478.524
1600	2092346.632
1601	2091223.904
1602	2090685.337
1603	2090237.408
1604	2088360.977
1605	2086843.058
1606	2086181.928
1607	2085770.34
1608	2085593.591
1609	2084448.4
1610	2084004.06
1611	2082661.471
1612	2080784.244
1613	2080467.427
1614	2079829.246
1615	2078199.859
1616	2078064.622
1617	2076245.78
1618	2074775.468
1619	2073257.103
1620	2072325.397
1621	2071945.383
1622	2071875.606
1623	2070615.443
1624	2068804.608
1625	2068087.886
1626	2065748.59
1627	2063874.534
1628	2063456.855
1629	2062962.573
1630	2062355.201
1631	2061181.133
1632	2060332.437
1633	2059247.041
1634	2058504.034
1635	2057990.487
1636	2057395.297
1637	2057309.581
1638	2056584.444
1639	2055123.324
1640	2053318.056
1641	2052911.524
1642	2052403.124
1643	2050338.426
1644	2049399.904
1645	2047643.537
1646	2047047.204
1647	2046369.845
1648	2045785.701
1649	2044313.04
1650	2043288.634
1651	2042585.109
1652	2042346.067
1653	2041780.781
1654	2041022.368
1655	2039684.727
1656	2039231.84
1657	2039165.631
1658	2038117.219
1659	2037326.523
1660	2035492.883
1661	2034638.133
